Борщ;Первое блюдо;55;нет
Солянка мясная;Первое блюдо;55;да
Суп крестьянский с рисом;Первое блюдо;55;да
Суп-пюре овощной с сельдереем;Первое блюдо;55;да
Плов из курицы;Второе блюдо;85;да
Свинина запеченная под грибным жульеном;Второе блюдо;110;да
Индейка Бризоль;Второе блюдо;115;да
Харчо;Второе блюдо;105;да
Свинина тушеная в соусе лечо;Второе блюдо;105;да
Куриная голень запеченная;Второе блюдо;70;да
Куриные кармашки с ананасом;Второе блюдо;110;да
Котлета рыбная на пару;Второе блюдо;85;да
Сосиски отварные;Второе блюдо;60;да
Кабачки по-молдавски;Второе блюдо;85;да
Паста с курицей в соусе;Второе блюдо;85;да
Котлета Полтавская;Второе блюдо;85;да
Котлета по-киевски;Второе блюдо;90;нет
Шницель;Второе блюдо;110;нет
Капуста тушеная с мясом;Второе блюдо;85;да
Треска по-русски с картофелем;Второе блюдо;90;да
Куриная отбивная с сыром ;Второе блюдо;110;нет
Медальоны с баклажанами;Второе блюдо;60;да
Куриная отбивная;Второе блюдо;105;нет
Куриные грудки отварные;Диетическое блюдо;60;да
"Омлет ""Мехико""";Диетическое блюдо;60;да
Картофель пюре;Гарнир;45;да
Рис отварной;Гарнир;35;да
Гречка отварная;Гарнир;35;да
Макароны;Гарнир;40;нет
Овощное ассорти;Гарнир;75;да
Запеченный картофель;Гарнир;50;нет
"Салат ""Английский""(курица, айсберг, помидор, яйцо)";Салат;80;да
Салат свекольный со сметаной;Салат;50;да
"Салат ""Крабовый"" с овощами";Салат;60;да
"Салат ""Оливье"" с ветчиной";Салат;60;да
Винегрет с сельдью;Салат;50;да
"Салат ""Витаминный""";Салат;45;да
"Салат "" Цезарь""";Салат;80;нет
Хачапури с сыром;Выпечка;55;да
Слойка с джемом;Выпечка;35;да
Пирожок с яблоком;Выпечка;35;да
Пирожок с мясом;Выпечка;45;нет
Пирожок с капустой;Выпечка;35;нет
Пирожок с картошкой и грибами;Выпечка;40;нет
Пицца с ветчиной и ананасом;Выпечка;55;да
Самса с курицей;Выпечка;50;да
Улитка с корицей;Выпечка;35;да
Блин с творогом;Выпечка;40;нет
Оладьи;Выпечка;30;да
Шоколадный маффин;Десерт;60;да
Пончик;Десерт;60;да
"Пирожное ""Тирамису""";Десерт;75;нет
Чай ;Напиток;15;да
Кофе;Напиток;15;да
Апельсиновый сок;Напиток;25;да
Томатный сок;Напиток;25;да
Мультифруктовый сок;Напиток;25;да
Персиковый сок;Напиток;25;да
